Category,Desc,Food ID,Carbs,Cholesterol,Calories,Protein,Sugar ,Saturated Fat,Calcium,Iron,Vitamin B6,Vitamin C
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",1087,5.56,2,41,3.96,0,0.162,143,0.06,0.05,1.1
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",1088,4.79,4,40,3.31,4.789999962,0.548,116,0.05,0.034,1
MILK,"MILK,LOW SODIUM,FLUID",1089,4.46,14,61,3.1,4.460000038,2.154,101,0.05,0.034,0.9
MILK,"MILK,DRY,WHOLE",1090,38.42,97,496,26.32,38.41999817,16.742,912,0.47,0.302,8.6
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",1091,51.98,20,362,36.16,51.97999954,0.499,1257,0.32,0.361,6.8
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",1092,52.19,18,358,35.1,52.18999863,0.467,1231,0.31,0.345,5.6
MILK,"MILK,DRY,NONFAT,CA RED",1093,51.8,2,354,35.5,0,0.124,280,0.32,0.298,6.7
MILK,"MILK,BUTTERMILK,DRIED",1094,49,69,387,34.3,49,3.598,1184,0.3,0.338,5.7
MILK,"MILK,CND,COND,SWTND",1095,54.4,34,321,7.91,54.40000153,5.486,284,0.19,0.051,2.6
MILK,"MILK,CND,EVAP,WO/ VIT A",1096,10.04,29,134,6.81,10.03999996,4.591,261,0.19,0.05,1.9
MILK,"MILK,CND,EVAP,NONFAT",1097,11.35,4,78,7.55,11.35000038,0.121,290,0.29,0.055,1.2
MILK,"MILK,CHOC,FLUID,COMM,",1102,10.34,12,83,3.17,9.539999962,2.104,112,0.24,0.04,0.9
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",1103,12.13,8,76,2.99,9.550000191,1.177,109,0.24,0.024,0
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",1104,10.44,3,63,3.24,9.93999958,0.616,115,0.24,0.041,0.9
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",1105,10.63,8,77,3.52,9.670000076,1.431,105,0.48,0.04,0.2
MILK,"MILK,GOAT,FLUID",1106,4.45,11,69,3.56,4.449999809,2.667,134,0.05,0.046,1.3
MILK,"MILK,HUMAN,MATURE,FLUID",1107,6.89,14,70,1.03,6.889999866,2.009,32,0.03,0.011,5
MILK,"MILK,INDIAN BUFFALO,FLUID",1108,5.18,19,97,3.75,0,4.597,169,0.12,0.023,2.3
MILK,"MILK,SHEEP,FLUID",1109,5.36,27,108,5.98,0,4.603,193,0.1,0.06,4.2
MILK SHAKES,"MILK SHAKES,THICK CHOC",1110,21.15,11,119,3.05,20.85000038,1.681,132,0.31,0.025,0
MILK SHAKES,"MILK SHAKES,THICK VANILLA",1111,17.75,12,112,3.86,17.75,1.886,146,0.1,0.042,0
WHEY,"WHEY,ACID,FLUID",1112,5.12,1,24,0.76,5.119999886,0.057,103,0.08,0.042,0.1
WHEY,"WHEY,ACID,DRIED",1113,73.45,3,339,11.73,73.44999695,0.342,2054,1.24,0.62,0.9
WHEY,"WHEY,SWEET,FLUID",1114,5.14,2,27,0.85,5.139999866,0.23,47,0.06,0.031,0.1
WHEY,"WHEY,SWEET,DRIED",1115,74.46,6,353,12.93,74.45999908,0.684,796,0.88,0.584,1.5
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",1116,4.66,13,61,3.47,4.659999847,2.096,121,0.05,0.032,0.5
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",1117,7.04,6,63,5.25,7.039999962,1,183,0.08,0.049,0.8
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",1118,7.68,2,56,5.73,7.679999828,0.116,199,0.09,0.053,0.9
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",1119,13.8,5,85,4.93,13.80000019,0.806,171,0.07,0.045,0.8
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",1120,18.64,5,99,3.98,18.63999939,0.742,138,0.06,0.037,0.6
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",1121,19.05,4,102,4.37,19.04999924,0.697,152,0.07,0.04,0.7
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",1122,18.6,6,105,4.86,0,0.909,169,0.07,0.045,0.7
EGG,"EGG,WHOLE,RAW,FRESH",1123,0.77,423,143,12.58,0.769999981,3.099,53,1.83,0.143,0
EGG,"EGG,WHITE,RAW,FRESH",1124,0.73,0,48,10.9,0.709999979,0,7,0.08,0.005,0
EGG,"EGG,YOLK,RAW,FRSH",1125,3.59,1234,317,15.86,0.560000002,9.551,129,2.73,0.35,0
EGG,"EGG,YOLK,RAW,FROZEN",1126,1.15,1075,303,15.5,0.50999999,7.82,138,3.34,0.345,0
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",1127,10.8,959,307,13.8,0,6.97,123,3.14,0.284,0
EGG,"EGG,WHL,CKD,FRIED",1128,0.88,457,196,13.63,0.829999983,4.294,59,1.98,0.155,0
EGG,"EGG,WHL,CKD,HARD-BOILED",1129,1.12,424,155,12.58,1.120000005,3.267,50,1.19,0.121,0
EGG,"EGG,WHOLE,COOKED,OMELET",1130,0.68,356,157,10.59,0.649999976,3.296,47,1.55,0.121,0
EGG,"EGG,WHL,CKD,POACHED",1131,0.76,422,142,12.53,0.769999981,3.087,53,1.83,0.121,0
EGG,"EGG,WHL,CKD,SCRMBLD",1132,2.2,352,167,11.09,1.730000019,3.679,71,1.2,0.118,0.2
EGG,"EGG,WHOLE,DRIED",1133,4.95,1715,594,47.35,3.079999924,12.727,231,6.79,0.388,0
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1134,2.38,2017,615,48.17,0,13.198,222,8.28,0.42,0
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",1135,4.17,0,351,76.92,4.170000076,0,83,0.23,0.023,0
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",1136,4.47,0,376,82.4,4.46999979,0,89,0.24,0.024,0
EGG,"EGG,YOLK,DRIED",1137,3.6,2335,666,34.25,3.599999905,17.154,284,5.42,0.66,0
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",1138,1.45,884,185,12.81,0.930000007,3.681,64,3.85,0.25,0
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",1139,1.35,852,185,13.87,0.939999998,3.595,60,3.64,0.236,0
